77 vs AA | 0.302500 0.697500
77 vs KK | 0.272500 0.727500
77 vs QQ | 0.270000 0.730000
77 vs JJ | 0.285000 0.715000
77 vs TT | 0.275000 0.725000
77 vs 99 | 0.192500 0.807500
77 vs 88 | 0.255000 0.745000
77 vs 77 | 0.507500 0.492500
77 vs 66 | 0.697500 0.302500
77 vs AKs | 0.362500 0.637500
77 vs AKo | 0.430000 0.570000
77 vs AQs | 0.397500 0.602500
77 vs AQo | 0.437500 0.562500
77 vs AJs | 0.500000 0.500000
77 vs AJo | 0.495000 0.505000
77 vs ATs | 0.430000 0.570000
77 vs ATo | 0.395000 0.605000
77 vs A9s | 0.430000 0.570000
77 vs A9o | 0.457500 0.542500
77 vs A8s | 0.465000 0.535000
77 vs A8o | 0.500000 0.500000
77 vs A7s | 0.485000 0.515000
77 vs A7o | 0.497500 0.502500
77 vs A6s | 0.500000 0.500000
77 vs A6o | 0.547500 0.452500
77 vs KQs | 0.395000 0.605000
77 vs KQo | 0.390000 0.610000
77 vs KJs | 0.375000 0.625000
77 vs KJo | 0.480000 0.520000
77 vs KTs | 0.372500 0.627500
77 vs KTo | 0.497500 0.502500
77 vs K9s | 0.485000 0.515000
77 vs K9o | 0.500000 0.500000
77 vs K8s | 0.420000 0.580000
77 vs K8o | 0.495000 0.505000
77 vs K7s | 0.457500 0.542500
77 vs K7o | 0.500000 0.500000
77 vs K6s | 0.530000 0.470000
77 vs K6o | 0.572500 0.427500
77 vs QJs | 0.352500 0.647500
77 vs QJo | 0.445000 0.555000
77 vs QTs | 0.372500 0.627500
77 vs QTo | 0.417500 0.582500
77 vs Q9s | 0.362500 0.637500
77 vs Q9o | 0.510000 0.490000
77 vs Q8s | 0.417500 0.582500
77 vs Q8o | 0.427500 0.572500
77 vs Q7s | 0.525000 0.475000
77 vs Q7o | 0.512500 0.487500
77 vs Q6s | 0.540000 0.460000
77 vs Q6o | 0.517500 0.482500
77 vs JTs | 0.407500 0.592500
77 vs JTo | 0.477500 0.522500
77 vs J9s | 0.410000 0.590000
77 vs J9o | 0.405000 0.595000
77 vs J8s | 0.442500 0.557500
77 vs J8o | 0.470000 0.530000
77 vs J7s | 0.507500 0.492500
77 vs J7o | 0.452500 0.547500
77 vs J6s | 0.562500 0.437500
77 vs J6o | 0.567500 0.432500
77 vs T9s | 0.402500 0.597500
77 vs T9o | 0.472500 0.527500
77 vs T8s | 0.452500 0.547500
77 vs T8o | 0.477500 0.522500
77 vs T7s | 0.407500 0.592500
77 vs T7o | 0.507500 0.492500
77 vs T6s | 0.580000 0.420000
77 vs T6o | 0.585000 0.415000
77 vs 98s | 0.457500 0.542500
77 vs 98o | 0.475000 0.525000
77 vs 97s | 0.420000 0.580000
77 vs 97o | 0.477500 0.522500
77 vs 96s | 0.565000 0.435000
77 vs 96o | 0.652500 0.347500
77 vs 87s | 0.477500 0.522500
77 vs 87o | 0.530000 0.470000
77 vs 86s | 0.612500 0.387500
77 vs 86o | 0.605000 0.395000
77 vs 76s | 0.797500 0.202500
77 vs 76o | 0.757500 0.242500
66 vs AA | 0.280000 0.720000
66 vs KK | 0.247500 0.752500
66 vs QQ | 0.275000 0.725000
66 vs JJ | 0.242500 0.757500
66 vs TT | 0.222500 0.777500
66 vs 99 | 0.290000 0.710000
66 vs 88 | 0.240000 0.760000
66 vs 77 | 0.260000 0.740000
66 vs 66 | 0.497500 0.502500
66 vs AKs | 0.455000 0.545000
66 vs AKo | 0.452500 0.547500
66 vs AQs | 0.387500 0.612500
66 vs AQo | 0.422500 0.577500
66 vs AJs | 0.372500 0.627500
66 vs AJo | 0.470000 0.530000
66 vs ATs | 0.397500 0.602500
66 vs ATo | 0.375000 0.625000
66 vs A9s | 0.462500 0.537500
66 vs A9o | 0.382500 0.617500
66 vs A8s | 0.377500 0.622500
66 vs A8o | 0.462500 0.537500
66 vs A7s | 0.462500 0.537500
66 vs A7o | 0.470000 0.530000
66 vs A6s | 0.505000 0.495000
66 vs A6o | 0.500000 0.500000
66 vs KQs | 0.357500 0.642500
66 vs KQo | 0.395000 0.605000
66 vs KJs | 0.315000 0.685000
66 vs KJo | 0.457500 0.542500
66 vs KTs | 0.437500 0.562500
66 vs KTo | 0.377500 0.622500
66 vs K9s | 0.347500 0.652500
66 vs K9o | 0.452500 0.547500
66 vs K8s | 0.477500 0.522500
66 vs K8o | 0.425000 0.575000
66 vs K7s | 0.417500 0.582500
66 vs K7o | 0.435000 0.565000
66 vs K6s | 0.530000 0.470000
66 vs K6o | 0.525000 0.475000
66 vs QJs | 0.302500 0.697500
66 vs QJo | 0.392500 0.607500
66 vs QTs | 0.420000 0.580000
66 vs QTo | 0.392500 0.607500
66 vs Q9s | 0.385000 0.615000
